#Id Teff err [Fe/H] err Mv err age/Gyr err mass/Msun err logg err R/Rsun err B-V/mag err 
hd114659 4790 40 0.03 0.02 1.730 0.426 3.683 1.755 1.397 0.218 2.977 0.179 6.154 1.668 1.036 0.017 
hd116029 4817 33 0.11 0.03 2.426 0.174 4.387 0.854 1.321 0.080 3.197 0.062 4.648 0.374 1.033 0.012 
hd117623 4989 31 -0.04 0.02 0.519 0.232 0.902 0.211 2.277 0.169 2.763 0.059 10.052 0.964 0.955 0.007 
hd117762 5173 21 -0.33 0.01 2.086 0.220 2.299 0.376 1.495 0.087 3.303 0.070 4.373 0.473 0.881 0.007 
hd118082 4866 29 0.08 0.02 2.245 0.225 3.501 0.719 1.413 0.098 3.217 0.073 4.696 0.505 1.011 0.012 
hd118744 4836 20 -0.05 0.02 1.569 0.283 2.805 0.870 1.492 0.160 2.953 0.128 6.539 1.275 1.011 0.008 
hd120531 4964 26 -0.21 0.02 2.430 0.178 4.453 0.893 1.239 0.073 3.240 0.059 4.281 0.342 0.957 0.010 
hd122253 5067 25 -0.05 0.01 2.775 0.123 3.034 0.196 1.443 0.040 3.488 0.046 3.467 0.221 0.925 0.009 
hd123239 4831 29 -0.18 0.02 1.966 0.350 5.699 2.022 1.170 0.119 3.000 0.090 5.488 0.769 1.008 0.011 
hd124641 4682 26 -0.19 0.02 1.911 0.279 8.592 2.236 1.044 0.077 2.734 0.067 7.042 0.705 1.066 0.011 
hd125217 4898 43 0.15 0.03 2.251 0.329 3.228 0.997 1.469 0.153 3.290 0.112 4.404 0.740 1.006 0.018 
hd125390 4936 33 -0.07 0.02 1.772 0.346 2.027 0.896 1.673 0.269 3.020 0.170 6.410 1.739 0.969 0.013 
hd125607 5011 22 0.02 0.02 2.481 0.251 2.819 0.465 1.503 0.088 3.404 0.080 3.902 0.466 0.946 0.009 
hd126991 5160 25 -0.59 0.02 2.918 0.155 7.622 1.422 0.989 0.053 3.410 0.052 3.147 0.229 0.881 0.008 
hd127374 4897 28 -0.23 0.02 2.524 0.298 7.296 2.112 1.077 0.087 3.181 0.087 4.276 0.539 0.981 0.010 
hd128095 4991 26 -0.06 0.02 2.753 0.215 3.826 0.601 1.327 0.067 3.445 0.066 3.502 0.321 0.955 0.010 
hd128720 5111 31 0.17 0.02 2.710 0.367 3.288 1.053 1.460 0.154 3.610 0.122 3.037 0.587 0.917 0.011 
hd131496 4798 43 0.11 0.02 2.599 0.186 5.421 1.400 1.243 0.091 3.219 0.073 4.393 0.389 1.040 0.016 
hd136418 4987 40 -0.08 0.02 2.925 0.124 4.367 0.790 1.272 0.066 3.444 0.055 3.430 0.214 0.958 0.013 
hd136513 4859 26 -0.24 0.01 2.099 0.314 6.347 2.113 1.119 0.105 3.024 0.081 5.222 0.673 0.995 0.010 
hd140025 5553 15 0.17 0.01 2.906 0.144 3.415 2.929 1.389 0.081 3.750 0.049 2.518 0.178 0.774 0.004 
hd141712 5151 35 0.08 0.02 2.123 0.255 1.861 0.355 1.744 0.112 3.386 0.075 4.294 0.508 0.898 0.012 
hd142091 4867 29 0.15 0.02 2.382 0.014 3.044 0.291 1.502 0.050 3.230 0.030 4.775 0.111 1.012 0.012 
hd142245 4841 49 0.13 0.04 2.260 0.147 3.671 0.826 1.403 0.105 3.152 0.066 5.047 0.375 1.032 0.019 
hd144363 4985 29 -0.07 0.02 2.495 0.304 3.739 0.770 1.338 0.090 3.396 0.089 3.720 0.475 0.957 0.011 
hd145428 4766 25 -0.30 0.01 2.164 0.231 9.730 1.594 0.982 0.046 2.840 0.058 6.048 0.474 1.024 0.009 
hd146278 4839 33 -0.05 0.02 1.899 0.204 3.626 0.800 1.367 0.096 3.035 0.066 5.698 0.525 1.014 0.012 
hd150331 5708 25 -0.18 0.02 1.151 0.079 1.193 0.065 1.933 0.039 3.222 0.025 5.459 0.199 0.717 0.007 
hd152581 5128 15 -0.28 0.01 2.012 0.386 2.672 0.875 1.432 0.166 3.348 0.150 4.066 0.936 0.897 0.005 
hd152733 4896 36 0.07 0.03 2.306 0.154 3.231 0.575 1.448 0.090 3.223 0.057 4.719 0.355 1.000 0.015 
hd155413 5819 29 0.23 0.02 2.717 0.122 3.000 0.926 1.497 0.048 3.814 0.034 2.432 0.121 0.695 0.006 
hd158038 4967 65 0.29 0.03 2.394 0.166 2.274 0.396 1.672 0.092 3.347 0.069 4.399 0.383 0.985 0.028 
